name,description,price,price_per_unit,category
SMUCKER'S SUNDAE SYRUP 20 Oz. Btl,Hot Fudge Topping (15.5 Oz. Btl.); Peanut Butter Topping (12 Oz. Jar); Chocolate or Caramel,3.99,,Grocery
COCA-COLA,"Sprite; Zero Sugar, Regular or Diet

8 Pk. 12 Oz. Slim Cans",6.99,,Snacks & Beverage
NATURE'S OWN 100% WHOLE WHEAT BREAD,"100% Whole Grain,Hawaiian or 20 Oz. Pkg.",3.49,,Grocery
WYMAN'S FRUIT,"Assorted Varieties
32-48 Oz. Pkg.",9.99,,Produce
SNAPPLE DRINKS & TEAS,Regular or Diet 6 pk 16 oz.Btls,4.99,,Snacks & Beverage
"CHLOE'S , ARIZONA ICE POPS","Fruit Punch, Watermelon or Mucho Mango
Assorted varieties
4 pk. 10 oz. boxes",3.99,,Frozen
BLUE BUNNY TWIST ICE CREAM,"Strawberries'n Cream, Cookies'n Cream or Vanilla/Chocolate

16 Oz. Cntrs.",2.99,,Frozen
SMUCKER'S TOPPINGS 11.75-12.25 Oz. Jar,Magic Shell Chocolate or Fudge (7.25 Oz. Btl.); Caramel or Hot Fudge,3.29,,Sauces and Spices
ARNOLD WHOLE GRAIN BREAD,"100% Whole Wheat or Assorted Varieties

24 Oz. Pkg.",4.99,,Bakery
POWERADE DRINKS,"Assorted Varieties

28 Oz. Btls.",5.00,,Snacks & Beverage
THIN SLICED VEAL CUTLETS,"Fresh, Nature Fed, Cut From The Leg",16.99,lb.,Fresh Meat & Deli
BOAR'S HEAD MAPLE GLAZED HONEY COAT TURKEY BREAST,None,10.99,LB.,Fresh Meat & Deli
BOAR'S HEAD AMERICAN CHEESE,Yellow or White,5.99,LB.,Dairy
GREEN COOKING BANANAS,None,0.59,LB.,Produce
PERDUE SPLIT CHICKEN BREAST,None,2.39,lb.,Fresh Meat & Deli
BUTT or SHANK HALF,None,2.19,lb.,Fresh Meat & Deli
WHOLE SLICED PORK SHOULDER,None,2.19,lb.,Fresh Meat & Deli
PORK FOR STEW,BONE-IN,2.99,lb.,Fresh Meat & Deli
BONELESS PORK FOR STEW,None,3.49,LB.,Meat & Seafood
THIN SLICED SIRLOIN TIP STEAK,U.S.D.A. Choice Beef,7.99,lb.,Produce
GROUND BEEF,90% Lean,6.99,lb.,Meat & Seafood
SMOKED PORK NECK BONES,U.S.D.A Inspected,2.99,lb.,Fresh Meat & Deli
CHICKEN GIZZARDS,Country Fresh,1.59,lb.,Fresh Meat & Deli
"PEPPER STEAK, ROUND CUBES, or STIR-FRY",None,7.99,lb.,Fresh Meat & Deli
MEATLOAF MIX,Beef + Pork + Veal,6.99,lb.,Fresh Meat & Deli
MAMITA'S COOKED SALAMI,"or Cured Longaniza

16 Oz. Pkg.",5.99,,Fresh Meat & Deli
MAMA MANCINI'S ITALIAN STYLE MEATBALLS,"Beef or Turkey

16 Oz. Pkg.",6.99,,Fresh Meat & Deli
SICILIA LEMON JUICE,"or Lime

4 Oz. Cntr.",3.00,,Snacks & Beverage
HILLSHIRE FARM ULTRA THIN DELI MEATS,7-9 Oz. Tub,5.99,,Meat & Seafood
AL FRESCO CHICKEN BREAKFAST SAUSAGE PATTIES,"Fully Cooked: Country Style
7 Oz. Pkg.",3.99,,Fresh Meat & Deli
BUTT PORTION,None,2.79,lb,Fresh Meat & Deli
WAHLBURGERS SIGNATURE BLEND PATTIES,"GOURMET ANGUS BEEF

1.33 LB. PKG.",12.99,,Fresh Meat & Deli
GRASS FED BEEF BURGERS,16 oz. Pkg.,9.99,,Fresh Meat & Deli
SPIRAL SLICED SMOKED HAM,None,3.99,lb.,Fresh Meat & Deli
BEEF FAJITA STRIPS,12 oz. Pkg.,8.99,,Snacks & Beverage
